,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Arminia,26,34.0,55,2,1,480,337,54,280,596,376,2,7,2,3158,812,887,47.8
1,Augsburg,26,34.0,74,0,0,525,395,73,402,604,373,4,5,2,2992,690,743,48.2
2,Bayern Munich,30,34.0,36,2,0,343,432,76,495,544,391,1,2,1,3361,540,477,53.1
3,Bochum,28,34.0,55,2,0,470,420,75,407,679,420,4,7,4,3069,767,754,50.4
4,Dortmund,33,34.0,63,1,1,393,445,73,332,512,404,6,6,2,3083,541,480,53.0
5,Eint Frankfurt,27,34.0,61,1,1,498,333,53,437,562,410,1,4,1,3424,684,772,47.0
6,Freiburg,26,34.0,34,0,0,437,422,58,406,515,340,4,2,1,3152,849,773,52.3
7,Greuther Fürth,29,34.0,61,0,0,499,482,69,314,616,370,3,6,5,2882,567,749,43.1
8,Hertha BSC,36,34.0,62,2,0,473,480,72,320,538,373,3,7,0,2947,692,682,50.4
9,Hoffenheim,32,34.0,75,0,0,480,386,69,497,455,365,0,4,1,2994,596,688,46.4
10,Köln,26,34.0,67,1,1,471,509,67,554,623,400,1,1,2,3218,761,712,51.7
11,Leverkusen,29,34.0,66,2,1,403,388,65,349,617,359,5,4,1,2875,524,524,50.0
12,M'Gladbach,26,34.0,67,1,0,405,543,73,259,559,403,6,5,1,2932,555,563,49.6
13,Mainz 05,28,34.0,62,4,2,535,428,63,403,593,417,3,4,1,3362,762,769,49.8
14,RB Leipzig,29,34.0,49,0,0,408,482,66,385,529,327,5,3,1,3070,613,528,53.7
15,Stuttgart,34,34.0,64,2,1,409,481,53,339,547,347,1,4,1,3038,741,578,56.2
16,Union Berlin,28,34.0,62,1,1,475,366,63,454,533,340,2,2,4,3204,741,888,45.5
17,Wolfsburg,30,34.0,61,3,1,455,475,74,398,585,351,3,5,1,3066,758,626,54.8
