,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Atalanta,1,3,3,270,3.0,1,0.33,9,8,88.9,2,1,0,2,66.7,0,0,0,0,
1,Bologna,1,3,3,270,3.0,5,1.67,17,13,70.6,0,1,2,0,0.0,0,0,0,0,
2,Cremonese,1,4,4,360,4.0,9,2.25,32,22,71.9,0,0,4,0,0.0,0,0,0,0,
3,Empoli,1,3,3,270,3.0,2,0.67,8,6,75.0,0,2,1,1,33.3,0,0,0,0,
4,Fiorentina,1,3,3,270,3.0,2,0.67,8,6,75.0,1,2,0,2,66.7,0,0,0,0,
5,Hellas Verona,1,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,
6,Inter,1,4,4,360,4.0,5,1.25,14,9,64.3,3,0,1,1,25.0,0,0,0,0,
7,Juventus,2,3,3,270,3.0,1,0.33,12,10,91.7,1,2,0,2,66.7,0,0,0,0,
8,Lazio,2,3,3,268,3.0,2,0.67,10,9,90.0,2,1,0,1,33.3,1,1,0,0,0.0
9,Lecce,1,3,3,270,3.0,4,1.33,15,11,73.3,0,1,2,0,0.0,0,0,0,0,
10,Milan,1,4,4,360,4.0,3,0.75,8,5,62.5,2,2,0,2,50.0,1,0,1,0,100.0
11,Monza,1,4,4,360,4.0,11,2.75,23,12,52.2,0,0,4,0,0.0,0,0,0,0,
12,Napoli,1,3,3,270,3.0,2,0.67,9,7,77.8,2,1,0,2,66.7,0,0,0,0,
13,Roma,1,4,4,360,4.0,1,0.25,9,8,88.9,3,1,0,3,75.0,0,0,0,0,
14,Salernitana,1,3,3,270,3.0,1,0.33,11,10,90.9,1,1,1,2,66.7,0,0,0,0,
15,Sampdoria,1,3,3,270,3.0,6,2.0,13,7,53.8,0,1,2,1,33.3,0,0,0,0,
16,Sassuolo,1,4,4,360,4.0,5,1.25,7,4,57.1,1,2,1,2,50.0,2,2,0,0,0.0
17,Spezia,1,3,3,270,3.0,5,1.67,21,16,76.2,1,1,1,1,33.3,0,0,0,0,
18,Torino,1,3,3,270,3.0,2,0.67,12,10,83.3,2,1,0,1,33.3,0,0,0,0,
19,Udinese,1,3,3,270,3.0,5,1.67,15,11,73.3,1,1,1,1,33.3,1,1,0,0,0.0
