,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Atalanta,19,27.7,45.7,3,33,270,3.0,4,4,4,0,0,13,0,1.33,1.33,2.67,1.33,2.67,3.4,3.4,3.2,6.6,1.14,1.07,2.21,1.14,2.21
1,Bologna,19,28.1,54.7,3,33,270,3.0,2,1,1,1,1,10,2,0.67,0.33,1.0,0.33,0.67,3.2,2.4,1.8,4.1,1.06,0.58,1.64,0.79,1.38
2,Cremonese,22,26.0,44.0,4,44,360,4.0,4,2,4,0,0,9,1,1.0,0.5,1.5,1.0,1.5,3.5,3.5,2.0,5.5,0.87,0.51,1.38,0.87,1.38
3,Empoli,19,25.2,52.0,3,33,270,3.0,1,0,1,0,0,4,1,0.33,0.0,0.33,0.33,0.33,2.4,2.4,2.1,4.6,0.81,0.7,1.52,0.81,1.52
4,Fiorentina,22,26.3,62.3,3,33,270,3.0,3,3,3,0,0,5,0,1.0,1.0,2.0,1.0,2.0,3.4,3.4,2.7,6.1,1.15,0.89,2.03,1.15,2.03
5,Hellas Verona,22,26.7,43.7,3,33,270,3.0,3,2,3,0,0,8,0,1.0,0.67,1.67,1.0,1.67,3.5,3.5,2.2,5.7,1.17,0.73,1.9,1.17,1.9
6,Inter,20,28.9,57.5,4,44,360,4.0,9,7,9,0,0,3,0,2.25,1.75,4.0,2.25,4.0,8.9,8.9,6.1,15.1,2.23,1.53,3.76,2.23,3.76
7,Juventus,21,28.0,50.7,3,33,270,3.0,4,2,3,1,1,5,0,1.33,0.67,2.0,1.0,1.67,3.2,2.4,1.4,3.8,1.07,0.48,1.54,0.81,1.28
8,Lazio,18,29.0,45.3,3,33,270,3.0,4,4,4,0,0,9,1,1.33,1.33,2.67,1.33,2.67,2.3,2.3,1.9,4.2,0.76,0.62,1.39,0.76,1.39
9,Lecce,18,24.4,37.0,3,33,270,3.0,2,2,2,0,0,6,0,0.67,0.67,1.33,0.67,1.33,1.8,1.8,1.4,3.2,0.6,0.47,1.07,0.6,1.07
10,Milan,22,25.9,57.3,4,44,360,4.0,7,5,6,1,1,8,0,1.75,1.25,3.0,1.5,2.75,6.1,5.3,4.1,9.4,1.52,1.03,2.55,1.33,2.36
11,Monza,25,26.9,54.3,4,44,360,4.0,2,1,2,0,0,8,0,0.5,0.25,0.75,0.5,0.75,3.9,3.9,2.7,6.7,0.99,0.68,1.67,0.99,1.67
12,Napoli,19,26.8,57.0,3,33,270,3.0,9,9,9,0,0,7,0,3.0,3.0,6.0,3.0,6.0,6.2,6.2,5.7,11.9,2.07,1.9,3.97,2.07,3.97
13,Roma,19,28.0,44.8,4,44,360,4.0,6,4,6,0,0,4,0,1.5,1.0,2.5,1.5,2.5,9.1,9.1,6.5,15.6,2.28,1.63,3.91,2.28,3.91
14,Salernitana,20,28.7,50.0,3,33,270,3.0,4,3,4,0,0,9,0,1.33,1.0,2.33,1.33,2.33,3.6,3.6,1.8,5.4,1.19,0.61,1.81,1.19,1.81
15,Sampdoria,20,28.5,52.3,3,33,270,3.0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,2.1,5.3,1.09,0.68,1.77,1.09,1.77
16,Sassuolo,20,26.9,53.3,4,44,360,4.0,3,2,3,0,1,14,0,0.75,0.5,1.25,0.75,1.25,5.8,5.0,4.2,9.3,1.46,1.06,2.51,1.26,2.32
17,Spezia,18,26.1,43.0,3,33,270,3.0,3,1,2,1,1,4,1,1.0,0.33,1.33,0.67,1.0,2.4,1.6,1.0,2.6,0.8,0.34,1.14,0.54,0.88
18,Torino,21,25.6,49.0,3,33,270,3.0,4,3,4,0,0,5,0,1.33,1.0,2.33,1.33,2.33,5.8,5.8,4.0,9.8,1.93,1.35,3.28,1.93,3.28
19,Udinese,20,27.3,44.0,3,33,270,3.0,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.3,3.3,2.8,6.1,1.1,0.93,2.03,1.1,2.03
