,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Angers,3,38,38,3420,38.0,55,1.45,150,103,66.7,10,11,17,8,21.1,6,5,1,0,16.7
1,Bordeaux,2,38,38,3420,38.0,91,2.39,185,103,54.6,6,13,19,2,5.3,9,7,2,0,22.2
2,Brest,1,38,38,3420,38.0,57,1.5,169,117,68.6,13,9,16,7,18.4,4,4,0,0,0.0
3,Clermont Foot,2,38,38,3420,38.0,69,1.82,160,98,60.0,9,9,20,8,21.1,5,5,0,0,0.0
4,Lens,2,38,38,3418,38.0,48,1.26,136,92,67.6,17,11,10,8,21.1,5,4,1,0,20.0
5,Lille,2,38,38,3420,38.0,48,1.26,150,109,72.0,14,13,11,10,26.3,7,6,1,0,14.3
6,Lorient,2,38,38,3420,38.0,63,1.66,145,89,60.0,8,12,18,11,28.9,6,5,0,1,0.0
7,Lyon,2,38,38,3418,38.0,51,1.34,167,125,73.7,17,11,10,9,23.7,8,7,1,0,12.5
8,Marseille,2,38,38,3420,38.0,36,0.95,107,72,70.1,21,8,9,15,39.5,4,4,0,0,0.0
9,Metz,2,38,38,3417,38.0,69,1.82,173,109,63.0,6,13,19,8,21.1,5,5,0,0,0.0
10,Monaco,1,38,38,3420,38.0,40,1.05,135,106,76.3,20,9,9,11,28.9,9,8,0,1,0.0
11,Montpellier,2,38,38,3420,38.0,61,1.61,206,151,72.8,12,7,19,10,26.3,6,5,1,0,16.7
12,Nantes,1,38,38,3420,38.0,48,1.26,150,106,70.7,15,10,13,8,21.1,7,4,3,0,42.9
13,Nice,2,38,38,3420,38.0,36,0.95,143,111,77.6,20,7,11,14,36.8,5,4,1,0,20.0
14,Paris S-G,4,38,38,3417,38.0,36,0.95,139,106,76.3,26,8,4,13,34.2,3,3,0,0,0.0
15,Reims,1,38,38,3420,38.0,44,1.16,152,114,74.3,11,13,14,11,28.9,7,5,1,1,16.7
16,Rennes,3,38,38,3420,38.0,40,1.05,97,60,63.9,20,6,12,14,36.8,6,5,1,0,16.7
17,Saint-Étienne,3,38,38,3417,38.0,73,1.92,181,116,64.1,7,11,20,4,10.5,8,8,0,0,0.0
18,Strasbourg,2,38,38,3420,38.0,43,1.13,126,87,69.0,17,12,9,14,36.8,4,4,0,0,0.0
19,Troyes,2,38,38,3420,38.0,53,1.39,149,107,71.1,9,11,18,9,23.7,10,10,0,0,0.0
