,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Atalanta,32,38.0,695,426,285,300,110,257,612,42.0,355,5606,1812,32.3,1579,2594,1433,598,112,3,486,559,1254,579,3
1,Bologna,36,38.0,592,346,297,215,80,206,530,38.9,324,5408,1566,29.0,2013,2222,1173,568,152,2,416,527,1119,697,7
2,Cagliari,33,38.0,602,365,284,242,76,181,508,35.6,327,5374,1528,28.4,1831,2360,1183,583,145,0,438,620,1222,717,3
3,Empoli,28,38.0,675,425,332,246,97,222,548,40.5,326,5870,1635,27.9,2019,2483,1368,596,195,8,401,544,1219,769,4
4,Fiorentina,28,38.0,554,334,253,219,82,229,526,43.5,297,5044,1558,30.9,1324,2298,1422,455,101,1,354,480,1034,385,13
5,Genoa,40,38.0,806,489,355,320,131,336,724,46.4,388,6405,1981,30.9,2063,2837,1505,731,154,0,577,657,1463,732,8
6,Hellas Verona,31,38.0,614,385,300,235,79,203,516,39.3,313,5383,1699,31.6,1829,2368,1186,620,115,3,505,560,1174,897,6
7,Inter,27,38.0,621,402,263,253,105,207,517,40.0,310,4883,1534,31.4,1418,2101,1364,501,127,2,374,462,1083,520,7
8,Juventus,32,38.0,597,380,285,229,83,180,467,38.5,287,5263,1643,31.2,1865,2218,1180,589,154,1,435,508,1105,690,7
9,Lazio,27,38.0,601,348,264,251,86,219,600,36.5,381,5150,1394,27.1,1501,2319,1330,565,155,3,410,495,1096,598,3
10,Milan,28,38.0,756,489,350,290,116,242,568,42.6,326,6144,1914,31.2,1756,2802,1586,530,125,2,405,606,1362,501,8
11,Napoli,27,38.0,617,403,289,238,90,261,630,41.4,369,5417,1728,31.9,1650,2296,1471,493,121,1,372,465,1082,457,2
12,Roma,29,38.0,686,431,325,278,83,250,579,43.2,329,6004,1795,29.9,1979,2663,1362,496,101,1,395,567,1253,586,4
13,Salernitana,42,38.0,598,367,326,197,75,210,530,39.6,320,5403,1444,26.7,1996,2242,1165,590,165,1,425,593,1191,803,3
14,Sampdoria,34,38.0,624,372,292,245,87,229,563,40.7,334,5365,1583,29.5,1805,2381,1179,599,148,4,451,617,1241,722,11
15,Sassuolo,29,38.0,527,321,269,189,69,205,498,41.2,293,5150,1470,28.5,1654,2298,1198,557,136,6,421,520,1047,635,20
16,Spezia,30,38.0,649,385,339,222,88,241,575,41.9,334,6001,1706,28.4,2152,2632,1217,674,196,3,478,584,1233,743,8
17,Torino,31,38.0,585,306,248,250,87,191,406,47.0,215,5314,1648,31.0,1628,2400,1286,536,120,1,416,587,1172,777,9
18,Udinese,29,38.0,689,455,335,268,86,269,652,41.3,383,5647,1746,30.9,1967,2529,1151,611,138,3,473,570,1259,657,11
19,Venezia,39,38.0,646,385,351,214,81,230,577,39.9,347,5974,1597,26.7,2346,2473,1155,729,220,7,509,617,1263,882,10
